card,power,toughness,text
Adanto Vanguard,1,1,"As long as Adanto Vanguard is attacking, it gets +2/+0. Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Admiral Beckett Brass,3,3,"Other Pirates you control get +1/+1. At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn."
Admiral's Order,,,"Raid — If you attacked with a creature this turn, you may pay {U} rather than pay this spell's mana cost. Counter target spell."
Aggressive Urge,,,Target creature gets +1/+1 until end of turn. Draw a card.
Air Elemental,4,4,Flying
Ancient Brontodon,9,9,
"Angrath, Minotaur Pirate",,,"+2: Angrath, Minotaur Pirate deals 1 damage to target opponent and each creature that player controls. −3: Return target Pirate card from your graveyard to the battlefield. −11: Destroy all creatures target opponent controls. Angrath, Minotaur Pirate deals damage to that player equal to their total power."
"Angrath, the Flame-Chained",,,+1: Each opponent discards a card and loses 2 life. −3: Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. Sacrifice it at the beginning of the next end step if it has converted mana cost 3 or less. −8: Each opponent loses life equal to the number of cards in his or her graveyard.
Angrath's Ambusher,2,3,Angrath's Ambusher gets +2/+0 as long as you control an Angrath planeswalker.
Angrath's Fury,,,"Destroy target creature. Angrath's Fury deals 3 damage to target player. You may search your library and/or graveyard for a card named Angrath, Minotaur Pirate, reveal it, and put it into your hand. If you search your library this way, shuffle it."
Angrath's Marauders,4,4,"If a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead."
Anointed Deacon,3,3,"At the beginning of combat on your turn, you may have target Vampire get +2/+0 until end of turn."
Aquatic Incursion,,,"When Aquatic Incursion enters the battlefield, create two 1/1 blue Merfolk creature tokens with hexproof. (They can't be the targets of spells or abilities your opponents control.). {3}{U}: Target Merfolk can't be blocked this turn."
Arcane Adaptation,,,"As Arcane Adaptation enters the battlefield, choose a creature type. Creatures you control are the chosen type in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield."
Arch of Orazca,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). {T}: Add {C} to your mana pool. {5}, {T}: Draw a card. Activate this ability only if you have the city's blessing."
Arguel's Blood Fast,,,"{1}{B}, Pay 2 life: Draw a card. At the beginning of your upkeep, if you have 5 or less life, you may transform Arguel's Blood Fast."
Arterial Flow,,,"Each opponent discards two cards. If you control a Vampire, each opponent loses 2 life and you gain 2 life."
Ashes of the Abhorrent,,,"Players can't cast spells from graveyards or activate abilities of cards in graveyards. Whenever a creature dies, you gain 1 life."
Atzocan Archer,1,4,"Reach. When Atzocan Archer enters the battlefield, you may have it fight another target creature. (Each deals damage equal to its power to the other.)"
Atzocan Seer,2,3,{T}: Add one mana of any color to your mana pool. Sacrifice Atzocan Seer: Return target Dinosaur card from your graveyard to your hand.
Awakened Amalgam,*,*,Awakened Amalgam's power and toughness are each equal to the number of differently named lands you control.
Axis of Mortality,,,"At the beginning of your upkeep, you may have two target players exchange life totals."
"Azor, the Lawbringer",6,6,"Flying. When Azor, the Lawbringer enters the battlefield, each opponent can't cast instant or sorcery spells during that player's next turn. Whenever Azor attacks, you may pay {X}{W}{U}{U}. If you do, you gain X life and draw X cards."
Azor's Gateway,,,"{1}, {T}: Draw a card, then exile a card from your hand. If cards with five or more different converted mana costs are exiled with Azor's Gateway, you gain 5 life, untap Azor's Gateway, and transform it."
Baffling End,,,"When Baffling End enters the battlefield, exile target creature an opponent controls with converted mana cost 3 or less. When Baffling End leaves the battlefield, target opponent creates a 3/3 green Dinosaur creature token with trample."
Belligerent Brontodon,4,6,Each creature you control assigns combat damage equal to its toughness rather than its power.
Bellowing Aegisaur,3,5,"Enrage — Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control."
Bishop of Binding,1,1,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield. Whenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card."
Bishop of Rebirth,3,4,"Vigilance. Whenever Bishop of Rebirth attacks, you may return target creature card with converted mana cost 3 or less from your graveyard to the battlefield."
Bishop of the Bloodstained,3,3,"When Bishop of the Bloodstained enters the battlefield, target opponent loses 1 life for each Vampire you control."
Bishop's Soldier,2,2,Lifelink
Blazing Hope,,,Exile target creature with power greater than or equal to your life total.
Blight Keeper,1,1,"Flying. {7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life."
Blinding Fog,,,Prevent all damage that would be dealt to creatures this turn. Creatures you control gain hexproof until end of turn. (They can't be the targets of spells or abilities your opponents control.)
Blood Sun,,,"When Blood Sun enters the battlefield, draw a card. All lands lose all abilities except mana abilities."
Bloodcrazed Paladin,1,1,Flash. Bloodcrazed Paladin enters the battlefield with a +1/+1 counter on it for each creature that died this turn.
Blossom Dryad,2,2,{T}: Untap target land.
Bombard,,,Bombard deals 4 damage to target creature.
Bonded Horncrest,5,5,Bonded Horncrest can't attack or block alone.
Boneyard Parley,,,Exile up to five target creature cards from graveyards. An opponent separates those cards into two piles. Put all cards from the pile of your choice onto the battlefield under your control and the rest into their owners' graveyards.
Brass's Bounty,,,"For each land you control, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Brazen Buccaneers,2,2,"Haste. When Brazen Buccaneers enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Brazen Freebooter,3,3,"When Brazen Freebooter enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Bright Reprisal,,,Destroy target attacking creature. Draw a card.
Buccaneer's Bravado,,,Choose one —. • Target creature gets +1/+1 and gains first strike until end of turn. • Target Pirate gets +1/+1 and gains double strike until end of turn.
Burning Sun's Avatar,6,6,"When Burning Sun's Avatar enters the battlefield, it deals 3 damage to target opponent and 3 damage to up to one target creature."
Cacophodon,2,5,"Enrage — Whenever Cacophodon is dealt damage, untap target permanent."
Call to the Feast,,,Create three 1/1 white Vampire creature tokens with lifelink.
Canal Monitor,5,3,
Cancel,,,Counter target spell.
Captain Lannery Storm,2,2,"Haste. Whenever Captain Lannery Storm attacks, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". Whenever you sacrifice a Treasure, Captain Lannery Storm gets +1/+0 until end of turn."
Captain's Hook,,,"Equipped creature gets +2/+0, has menace, and is a Pirate in addition to its other creature types. Whenever Captain's Hook becomes unattached from a permanent, destroy that permanent. Equip {1}"
Captivating Crew,4,3,{3}{R}: Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate this ability only any time you could cast a sorcery.
Carnage Tyrant,7,6,"Carnage Tyrant can't be countered. Trample, hexproof"
Castaway's Despair,,,"Enchant creature. When Castaway's Despair enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step."
Champion of Dusk,4,4,"When Champion of Dusk enters the battlefield, you draw X cards and you lose X life, where X is the number of Vampires you control."
Charging Monstrosaur,5,5,"Trample, haste"
Charging Tuskodon,4,4,"Trample. If Charging Tuskodon would deal combat damage to a player, it deals double that damage to that player instead."
Chart a Course,,,Draw two cards. Then discard a card unless you attacked with a creature this turn.
Cherished Hatchling,2,1,"When Cherished Hatchling dies, you may cast Dinosaur spells this turn as though they had flash, and whenever you cast a Dinosaur spell this turn, it gains ""When this creature enters the battlefield, you may have it fight another target creature."""
Cinder Barrens,,,Cinder Barrens enters the battlefield tapped. {T}: Add {B} or {R} to your mana pool.
Cleansing Ray,,,Choose one —. • Destroy target Vampire. • Destroy target enchantment.
Cobbled Wings,,,Equipped creature has flying. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Colossal Dreadmaw,6,6,Trample
Commune with Dinosaurs,,,Look at the top five cards of your library. You may reveal a Dinosaur or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
Conqueror's Galleon,2,10,"When Conqueror's Galleon attacks, exile it at end of combat, then return it to the battlefield transformed under your control. Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)"
Contract Killing,,,"Destroy target creature. Create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Costly Plunder,,,"As an additional cost to cast Costly Plunder, sacrifice an artifact or creature. Draw two cards."
Crafty Cutpurse,2,2,"Flash. When Crafty Cutpurse enters the battlefield, each token that would be created under an opponent's control this turn is created under your control instead."
Crash the Ramparts,,,Target creature gets +3/+3 and gains trample until end of turn.
Crashing Tide,,,Crashing Tide has flash as long as you control a Merfolk. Return target creature to its owner's hand. Draw a card.
Crested Herdcaller,3,3,"Trample. When Crested Herdcaller enters the battlefield, create a 3/3 green Dinosaur creature token with trample."
Crushing Canopy,,,Choose one —. • Destroy target creature with flying. • Destroy target enchantment.
Curious Obsession,,,"Enchant creature. Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may draw a card."". At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice Curious Obsession."
Daring Buccaneer,2,2,"As an additional cost to cast Daring Buccaneer, reveal a Pirate card from your hand or pay {2}."
Daring Saboteur,2,1,"{2}{U}: Daring Saboteur can't be blocked this turn. Whenever Daring Saboteur deals combat damage to a player, you may draw a card. If you do, discard a card."
Dark Inquiry,,,Target opponent reveals his or her hand. You choose a nonland card from it. That player discards that card.
Dark Nourishment,,,Dark Nourishment deals 3 damage to target creature or player. You gain 3 life.
Dead Man's Chest,,,"Enchant creature an opponent controls. When enchanted creature dies, exile cards equal to its power from the top of its owner's library. You may cast nonland cards from among them for as long as they remain exiled, and you may spend mana as though it were mana of any type to cast those spells."
Deadeye Brawler,2,4,"Deathtouch. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever Deadeye Brawler deals combat damage to a player, if you have the city's blessing, draw a card."
Deadeye Plunderers,3,3,"Deadeye Plunderers gets +1/+1 for each artifact you control. {2}{U}{B}: Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Deadeye Quartermaster,2,2,"When Deadeye Quartermaster enters the battlefield, you may search your library for an Equipment or Vehicle card, reveal it, put it into your hand, then shuffle your library."
Deadeye Rig-Hauler,3,2,"Raid — When Deadeye Rig-Hauler enters the battlefield, if you attacked with a creature this turn, you may return target creature to its owner's hand."
Deadeye Tormentor,2,2,"Raid — When Deadeye Tormentor enters the battlefield, if you attacked with a creature this turn, target opponent discards a card."
Deadeye Tracker,1,1,"{1}{B}, {T}: Exile two target cards from an opponent's graveyard. Deadeye Tracker explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Deathgorge Scavenger,3,2,"Whenever Deathgorge Scavenger enters the battlefield or attacks, you may exile target card from a graveyard. If a creature card is exiled this way, you gain 2 life. If a noncreature card is exiled this way, Deathgorge Scavenger gets +1/+1 until end of turn."
Deathless Ancient,4,4,Flying. Tap three untapped Vampires you control: Return Deathless Ancient from your graveyard to your hand.
Deeproot Champion,1,1,"Whenever you cast a noncreature spell, put a +1/+1 counter on Deeproot Champion."
Deeproot Elite,1,1,"Whenever another Merfolk enters the battlefield under your control, put a +1/+1 counter on target Merfolk you control."
Deeproot Warrior,2,2,"Whenever Deeproot Warrior becomes blocked, it gets +1/+1 until end of turn."
Deeproot Waters,,,"Whenever you cast a Merfolk spell, create a 1/1 blue Merfolk creature token with hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)"
Demolish,,,Destroy target artifact or land.
Demystify,,,Destroy target enchantment.
Depths of Desire,,,"Return target creature to its owner's hand. Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Desperate Castaways,2,3,Desperate Castaways can't attack unless you control an artifact.
Dinosaur Hunter,2,2,"Whenever Dinosaur Hunter deals damage to a Dinosaur, destroy that creature."
Dinosaur Stampede,,,Attacking creatures get +2/+0 until end of turn. Dinosaurs you control gain trample until end of turn.
Dire Fleet Captain,2,2,"Whenever Dire Fleet Captain attacks, it gets +1/+1 until end of turn for each other attacking Pirate."
Dire Fleet Daredevil,2,1,"First strike. When Dire Fleet Daredevil enters the battlefield, exile target instant or sorcery card from an opponent's graveyard. You may cast that card this turn, and you may spend mana as though it were mana of any type to cast that spell. If that card would be put into a graveyard this turn, exile it instead."
Dire Fleet Hoarder,2,1,"When Dire Fleet Hoarder dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Dire Fleet Interloper,2,2,"Menace. When Dire Fleet Interloper enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Dire Fleet Neckbreaker,3,2,Attacking Pirates you control get +2/+0.
Dire Fleet Poisoner,2,2,"Flash. Deathtouch. When Dire Fleet Poisoner enters the battlefield, target attacking Pirate you control gets +1/+1 and gains deathtouch until end of turn."
Dire Fleet Ravager,4,4,"Menace, deathtouch. When Dire Fleet Ravager enters the battlefield, each player loses a third of his or her life, rounded up."
Dive Down,,,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Divine Verdict,,,Destroy target attacking or blocking creature.
Dowsing Dagger,,,"When Dowsing Dagger enters the battlefield, target opponent creates two 0/2 green Plant creature tokens with defender. Equipped creature gets +2/+1. Whenever equipped creature deals combat damage to a player, you may transform Dowsing Dagger. Equip {2}"
Dragonskull Summit,,,Dragonskull Summit enters the battlefield tapped unless you control a Swamp or a Mountain. {T}: Add {B} or {R} to your mana pool.
Dreamcaller Siren,3,3,"Flash. Flying. Dreamcaller Siren can block only creatures with flying. When Dreamcaller Siren enters the battlefield, if you control another Pirate, tap up to two target nonland permanents."
Drover of the Mighty,1,1,Drover of the Mighty gets +2/+2 as long as you control a Dinosaur. {T}: Add one mana of any color to your mana pool.
Drowned Catacomb,,,Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp. {T}: Add {U} or {B} to your mana pool.
Dual Shot,,,Dual Shot deals 1 damage to each of up to two target creatures.
Duress,,,"Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card."
Dusk Charger,3,3,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Dusk Charger gets +2/+2 as long as you have the city's blessing."
Dusk Legion Dreadnought,4,6,Vigilance. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)
Dusk Legion Zealot,1,1,"When Dusk Legion Zealot enters the battlefield, you draw a card and you lose 1 life."
Duskborne Skymarcher,1,1,"Flying. {W}, {T}: Target attacking Vampire gets +1/+1 until end of turn."
Elaborate Firecannon,,,"Elaborate Firecannon doesn't untap during your untap step. {4}, {T}: Elaborate Firecannon deals 2 damage to target creature or player. At the beginning of your upkeep, you may discard a card. If you do, untap Elaborate Firecannon."
"Elenda, the Dusk Rose",1,1,"Lifelink. Whenever another creature dies, put a +1/+1 counter on Elenda, the Dusk Rose. When Elenda dies, create X 1/1 white Vampire creature tokens with lifelink, where X is Elenda's power."
Emergent Growth,,,Target creature gets +5/+5 until end of turn and must be blocked this turn if able.
Emissary of Sunrise,2,1,"First strike. When Emissary of Sunrise enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Emperor's Vanguard,4,3,"Whenever Emperor's Vanguard deals combat damage to a player, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Encampment Keeper,1,1,"First strike. {7}{W}, {T}, Sacrifice Encampment Keeper: Creatures you control get +2/+2 until end of turn."
Enter the Unknown,,,"Target creature you control explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the creature, then put the card back or put it into your graveyard.). You may play an additional land this turn."
Entrancing Melody,,,Gain control of target creature with converted mana cost X.
"Etali, Primal Storm",6,6,"Whenever Etali, Primal Storm attacks, exile the top card of each player's library, then you may cast any number of nonland cards exiled this way without paying their mana costs."
Everdawn Champion,2,2,Prevent all combat damage that would be dealt to Everdawn Champion.
Evolving Wilds,,,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Expel from Orazca,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Return target nonland permanent to its owner's hand. If you have the city's blessing, you may put that permanent on top of its owner's library instead."
Exultant Skymarcher,2,3,Flying
Famished Paladin,3,3,"Famished Paladin doesn't untap during your untap step. Whenever you gain life, untap Famished Paladin."
Fanatical Firebrand,1,1,"Haste. {T}, Sacrifice Fanatical Firebrand: It deals 1 damage to target creature or player."
Fathom Fleet Boarder,3,3,"When Fathom Fleet Boarder enters the battlefield, you lose 2 life unless you control another Pirate."
Fathom Fleet Captain,2,1,"Menace. Whenever Fathom Fleet Captain attacks, if you control another nontoken Pirate, you may pay {2}. If you do, create a 2/2 black Pirate creature token with menace."
Fathom Fleet Cutthroat,3,3,"When Fathom Fleet Cutthroat enters the battlefield, destroy target creature an opponent controls that was dealt damage this turn."
Fathom Fleet Firebrand,2,2,{1}{R}: Fathom Fleet Firebrand gets +1/+0 until end of turn.
Favorable Winds,,,Creatures you control with flying get +1/+1.
Fell Flagship,3,3,"Pirates you control get +1/+0. Whenever Fell Flagship deals combat damage to a player, that player discards a card. Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
Field of Ruin,,,"{T}: Add {C} to your mana pool. {2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches his or her library for a basic land card, puts it onto the battlefield, then shuffles his or her library."
Fiery Cannonade,,,Fiery Cannonade deals 2 damage to each non-Pirate creature.
Fire Shrine Keeper,1,1,"Menace. {7}{R}, {T}, Sacrifice Fire Shrine Keeper: It deals 3 damage to each of up to two target creatures."
Firecannon Blast,,,Firecannon Blast deals 3 damage to target creature. Raid — Firecannon Blast deals 6 damage to that creature instead if you attacked with a creature this turn.
Fleet Swallower,6,6,"Whenever Fleet Swallower attacks, target player puts the top half of his or her library, rounded up, into his or her graveyard."
Flood of Recollection,,,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.
Forerunner of the Coalition,2,2,"When Forerunner of the Coalition enters the battlefield, you may search your library for a Pirate card, reveal it, then shuffle your library and put that card on top of it. Whenever another Pirate enters the battlefield under your control, each opponent loses 1 life."
Forerunner of the Empire,1,3,"When Forerunner of the Empire enters the battlefield, you may search your library for a Dinosaur card, reveal it, then shuffle your library and put that card on top of it. Whenever a Dinosaur enters the battlefield under your control, you may have Forerunner of the Empire deal 1 damage to each creature."
Forerunner of the Heralds,3,2,"When Forerunner of the Heralds enters the battlefield, you may search your library for a Merfolk card, reveal it, then shuffle your library and put that card on top of it. Whenever another Merfolk enters the battlefield under your control, put a +1/+1 counter on Forerunner of the Heralds."
Forerunner of the Legion,2,2,"When Forerunner of the Legion enters the battlefield, you may search your library for a Vampire card, reveal it, then shuffle your library and put that card on top of it. Whenever another Vampire enters the battlefield under your control, target creature gets +1/+1 until end of turn."
Form of the Dinosaur,,,"When Form of the Dinosaur enters the battlefield, your life total becomes 15. At the beginning of your upkeep, Form of the Dinosaur deals 15 damage to target creature an opponent controls and that creature deals damage equal to its power to you."
Forsaken Sanctuary,,,Forsaken Sanctuary enters the battlefield tapped. {T}: Add {W} or {B} to your mana pool.
Foul Orchard,,,Foul Orchard enters the battlefield tapped. {T}: Add {B} or {G} to your mana pool.
Frenzied Raptor,4,2,
Frilled Deathspitter,3,2,"Enrage — Whenever Frilled Deathspitter is dealt damage, it deals 2 damage to target opponent."
"Ghalta, Primal Hunger",12,12,"Ghalta, Primal Hunger costs {X} less to cast, where X is the total power of creatures you control. Trample"
Gilded Sentinel,3,3,
Giltgrove Stalker,2,1,Giltgrove Stalker can't be blocked by creatures with power 2 or less.
"Gishath, Sun's Avatar",7,6,"Trample, vigilance, haste. Whenever Gishath, Sun's Avatar deals combat damage to a player, reveal that many cards from the top of your library. Put any number of Dinosaur creature cards from among them onto the battlefield and the rest on the bottom of your library in a random order."
Glacial Fortress,,,Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island. {T}: Add {W} or {U} to your mana pool.
Gleaming Barrier,0,4,"Defender. When Gleaming Barrier dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Glorifier of Dusk,4,4,Pay 2 life: Glorifier of Dusk gains flying until end of turn. Pay 2 life: Glorifier of Dusk gains vigilance until end of turn.
Goblin Trailblazer,2,1,Menace
Golden Demise,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). All creatures get -2/-2 until end of turn. If you have the city's blessing, instead only creatures your opponents control get -2/-2 until end of turn."
Golden Guardian,4,4,"Defender. {2}: Golden Guardian fights another target creature you control. When Golden Guardian dies this turn, return it to the battlefield transformed under your control."
Goring Ceratops,3,3,"Double strike. Whenever Goring Ceratops attacks, other creatures you control gain double strike until end of turn."
Grasping Current,,,"Return up to two target creatures to their owner's hand. Search your library and/or graveyard for a card named Jace, Ingenious Mind-Mage, reveal it, and put it into your hand. If you searched your library this way, shuffle it."
Grasping Scoundrel,1,1,Grasping Scoundrel gets +1/+0 as long as it's attacking.
Grazing Whiptail,3,4,Reach
Grim Captain's Call,,,"Return a Pirate card from your graveyard to your hand, then do the same for Vampire, Dinosaur, and Merfolk."
Growing Rites of Itlimoc,,,"When Growing Rites of Itlimoc enters the battlefield, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order. At the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc."
Gruesome Fate,,,Each opponent loses 1 life for each creature you control.
Hadana's Climb,,,"At the beginning of combat on your turn, put a +1/+1 counter on target creature you control. Then if that creature has three or more +1/+1 counters on it, transform Hadana's Climb."
Hardy Veteran,2,2,"As long as it's your turn, Hardy Veteran gets +0/+2."
Headstrong Brute,3,3,Headstrong Brute can't block. Headstrong Brute has menace as long as you control another Pirate.
Headwater Sentries,2,5,
Heartless Pillage,,,"Target opponent discards two cards. Raid — If you attacked with a creature this turn, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Herald of Secret Streams,2,3,Creatures you control with +1/+1 counters on them can't be blocked.
Hierophant's Chalice,,,"When Hierophant's Chalice enters the battlefield, target opponent loses 1 life and you gain 1 life. {T}: Add {C} to your mana pool."
Highland Lake,,,Highland Lake enters the battlefield tapped. {T}: Add {U} or {R} to your mana pool.
Hijack,,,Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn.
Hornswoggle,,,"Counter target creature spell. You create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Hostage Taker,2,3,"When Hostage Taker enters the battlefield, exile another target creature or artifact until Hostage Taker leaves the battlefield. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell."
"Huatli, Dinosaur Knight",,,+2: Put two +1/+1 counters on up to one target Dinosaur you control. −3: Target Dinosaur you control deals damage equal to its power to target creature you don't control. −7: Dinosaurs you control get +4/+4 until end of turn.
